Year,Tsu,Location Name,Latitude,Longitude
1930,Terjadi Tsunami,JAVA-S. JAVA SEA,-5.6,105.3
1930,Terjadi Tsunami,S. JAVA SEA,-9.3,114.3
1930,Terjadi Tsunami,INDONESIA:  AMURANG ISLAND,1.2,124.57
1931,Terjadi Tsunami,SW. SUMATRA,-5,102.75
1932,Tidak Terjadi Tsunami,"INDONESIA:  SULAWESI:  KAKAS,LANGOWAN,POSO,TONDANO",0.5,126
1932,Terjadi Tsunami,"INDONESIA:  AMBON ISLAND, CERAM ISLAND",-3.57,128.35
1933,Tidak Terjadi Tsunami,INDONESIA:  S SUMATERA,-5.151,104.528
1933,Tidak Terjadi Tsunami,INDONESIA:  S SUMATERA,-5.007,104.501
1935,Terjadi Tsunami,INDONESIA:  CELEBES SEA,5.5,94
1935,Terjadi Tsunami,"INDONESIA:  N SUMATERA:  BATU I,PADANG,SIBOLGA",0,98.25
1936,Terjadi Tsunami,INDONESIA:  TALAUD ISLANDS,4.5,126.5
1936,Terjadi Tsunami,"INDONESIA:  BANDA ACEH,LHOK SUKON,LHOKSEMAWE",6.1,94.7
1936,Tidak Terjadi Tsunami,"INDONESIA:  N SUMATERA:  TAPANULI, KARO",3.5,97.5
1937,Tidak Terjadi Tsunami,"INDONESIA:  JAVA:  JOGYAKARTA:  KLUMPIT,PRAMBANAN",-9.4,110.2
1937,Terjadi Tsunami,INDONESIA:  NEW GUINEA:  FAKFAK,-3,132.3
1938,Terjadi Tsunami,INDONESIA:  NEW GUINEA,-5.25,130.5
1938,Terjadi Tsunami,INDONESIA:  NEW GUINEA:  FAKFAK,-3,132.3
1938,Terjadi Tsunami,INDONESIA:  SULAWESI ISLAND,-1,120
1939,Terjadi Tsunami,"INDONESIA:  CENTRTAL SULAWESI:  KALO,LUWUK,SULA I",0,123
1942,Tidak Terjadi Tsunami,INDONESIA:  MINAHASSA PENINSULA,0,124
1943,Tidak Terjadi Tsunami,INDONESIA:  S SUMATERA,-1,101
1943,Tidak Terjadi Tsunami,INDONESIA:   JAVA:  JOGYAKARTA,-9.5,110
1943,Tidak Terjadi Tsunami,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ARU ISLANDS,-6,134.5
1944,Tidak Terjadi Tsunami,INDONESIA:  FLORES,-8.5,123.5
