Year,Tsu,Location Name,Latitude,Longitude,Focal Depth (km),Mag
2006,Tidak Terjadi Tsunami,INDONESIA:  N. SUMATRA: TAPAKTUAN,3.462,97.224,30,5
2006,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  KALIANDAK,-5.575,105.395,17,5.5
2006,Tidak Terjadi Tsunami,"INDONESIA:   JAVA:  BANTUL, YOGYAKARTA",-7.961,110.446,13,6.3
2006,Terjadi Tsunami,INDONESIA:  JAVA,-9.254,107.411,34,7.7
2006,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI: PINRANG,-3.728,119.233,31,5.2
2006,Tidak Terjadi Tsunami,INDONESIA:  HALMAHERA:  MOROTAI,2.52,128.283,39,6.2
2006,Tidak Terjadi Tsunami,INDONESIA:  SUMABAWA:  BIMA,-8.251,118.777,43,6.3
2006,Tidak Terjadi Tsunami,"INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI",0.626,99.859,30,5.8
2007,Tidak Terjadi Tsunami,INDONESIA:  MOLUCCA ISLANDS:  N,1.065,126.282,22,7.5
2007,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  SOUTHERN,-0.493,100.498,19,6.4
2007,Tidak Terjadi Tsunami,INDONESIA: LABUHA,-1.065,127.343,24,6.1
2007,Tidak Terjadi Tsunami,INDONESIA:  MALUKU:  N,2.872,127.464,25,6.9
2007,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-5.968,107.655,289,7.5
2007,Tidak Terjadi Tsunami,INDONESIA:  SITUBONDO,-7.783,114.338,35,4.8
2007,Terjadi Tsunami,INDONESIA:  SUMATRA,-4.438,101.367,34,8.4
2007,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA,-2.625,100.841,35,7.9
2007,Tidak Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND,-8.277,118.339,35,6.5
2008,Tidak Terjadi Tsunami,"INDONESIA: NEW GUINEA: MANOKWARI,",-0.795,134.012,12,5.9
2008,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,1.011,97.442,20,6.1
2008,Tidak Terjadi Tsunami,INDONESIA:  SUMATERA:  ACEH PROVINCE,2.768,95.964,26,7.4
2008,Terjadi Tsunami,INDONESIA:  SUMATRA:  PADANG,-2.486,99.972,25,6.5
2008,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  SOUTHERN,-3.935,103.058,25,5.4
2008,Terjadi Tsunami,INDONESIA:  MINAHASSA PENINSULA,1.271,122.091,30,7.3
2009,Terjadi Tsunami,PAPUA NEW GUINEA:  NEAR NORTH COAST,-0.414,132.885,17,7.6
2009,Terjadi Tsunami,PAPUA NEW GUINEA:  NEAR NORTH COAST,-0.691,133.305,23,7.3
2009,Terjadi Tsunami,INDONESIA:  KEPULAUAN TALAUD,3.884,126.397,22,7.2
2009,Terjadi Tsunami,INDONESIA:  SUMATRA:  PADANG,-1.479,99.49,20,6.7
2009,Terjadi Tsunami,INDONESIA:  JAVA,-7.782,107.297,46,7
2009,Tidak Terjadi Tsunami,INDONESIA:  BALI:  DENPASAR,-9.138,115.593,79,5.7
2009,Terjadi Tsunami,INDONESIA:  SUMATRA:  PADANG,-0.72,99.867,81,7.5
2009,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  SOUTHERN:  KERINCI,-2.515,101.501,10,6.6
2009,Tidak Terjadi Tsunami,INDONESIA:  SUMABAWA:  BIMA,-8.207,118.631,18,6.6
2010,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  GARUT,-7.907,107.879,65,5.1
2010,Terjadi Tsunami,INDONESIA:  SUMATRA,2.383,97.048,31,7.8
2010,Tidak Terjadi Tsunami,INDONESIA:  N. SUMATRA: SIMEULUE ISLAND,3.748,96.018,38,7.2
2010,Tidak Terjadi Tsunami,INDONESIA: NEW GUINEA:  IRIAN JAYA: JAPEN,-2.174,136.543,18,7
2010,Terjadi Tsunami,INDONESIA:  SUMATRA,-3.487,100.082,20,7.8
2011,Tidak Terjadi Tsunami,INDONESIA:   SULAWESI:  KENDARI,-4.586,122.771,8,6.1
2011,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA,2.965,97.893,91,6.7
2012,Terjadi Tsunami,INDONESIA:  N SUMATRA:  OFF WEST COAST,2.327,93.063,20,8.6
2012,Terjadi Tsunami,INDONESIA:  N SUMATRA:  OFF WEST COAST,0.802,92.463,25,8.2
2012,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-7.692,106.371,50,5.8
2012,Tidak Terjadi Tsunami,INDONESIA: BANDA ACEH,2.707,96.045,22,6.5
2012,Tidak Terjadi Tsunami,"INDONESIA:  SULAWESI:  SIGI, PARIGI MOUNTONG",-1.315,120.096,10,6.3
2013,Tidak Terjadi Tsunami,INDONESIA:  SUMATERA:  N,4.927,95.907,12,6.1
2013,Tidak Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.305,116.058,47,5.1
2013,Tidak Terjadi Tsunami,INDONESIA:  BANDA ACEH,4.645,96.665,13,6.1
2013,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-8.803,113.002,60,5.7
2013,Tidak Terjadi Tsunami,INDONESIA:  BANDA ACEH,5.103,95.971,10,5.5
2014,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  BANYUMAS,-7.986,109.265,66,6.1
2014,Terjadi Tsunami,INDONESIA:  N. MOLUCCAS ISLANDS,1.893,126.522,45,7.1
2015,Tidak Terjadi Tsunami,INDONESIA:  PAPUA,-2.629,138.528,48,7
2015,Tidak Terjadi Tsunami,INDONESIA:  SORONG,-0.59,131.27,10,6.6
2015,Tidak Terjadi Tsunami,INDONESIA:  EAST NUSA TENGGARA:  ALOR,-8.338,124.875,20,6.5
2016,Tidak Terjadi Tsunami,"INDONESIA: MALUKU:  BURU, AMBALAU ISLAND",-3.873,127.229,4,5.6
2016,Terjadi Tsunami,INDONESIA: SUMATRA:,-4.952,94.33,24,7.8
2016,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  PESISIR SELATAN,-2.097,100.665,50,6.6
2016,Tidak Terjadi Tsunami,INDONESIA:  MALUKU:  TERNATE ISLAND,1.279,126.371,31,6.3
2016,Tidak Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND:  WEST NUSA TENGGARA,-8.194,117.814,21,5.6
2016,Tidak Terjadi Tsunami,INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,5.283,96.168,13,6.5
2017,Tidak Terjadi Tsunami,INDONESIA:  BALI,-8.492,115.323,112,5.6
2017,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI:  POSO,-1.292,120.431,12,6.6
2017,Tidak Terjadi Tsunami,INDONESIA:  MALUKU:  AMBON,-3.745,127.752,6,6.1
2017,Tidak Terjadi Tsunami,INDONESIA: NORTH MALUKU: MOROTAI,2.465,128.148,8,5.8
2017,Tidak Terjadi Tsunami,INDONESIA:  JAVA,-7.492,108.174,90,6.5
2018,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  BANTEN,-7.092,105.963,48,5.9
2018,Tidak Terjadi Tsunami,INDONESIA:  JAVA:  BANJARNEGARA,-7.248,109.654,10,4.5
2018,Tidak Terjadi Tsunami,"INDONESIA:  MADURA ISLAND, JAVA",-7.001,113.888,10,4.6
2018,Tidak Terjadi Tsunami,INDONESIA: SUMATRA: SOLOK,-0.969,100.769,10,5.2
2018,Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.24,116.508,14,6.4
2018,Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.258,116.438,34,6.9
2018,Tidak Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.307,116.23,15,5.9
2018,Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.337,116.599,16,6.3
2018,Tidak Terjadi Tsunami,INDONESIA:  LOMBOK ISLAND,-8.319,116.627,21,6.9
2018,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI,-0.401,119.771,4,6.1
2018,Terjadi Tsunami,INDONESIA:  SULAWESI,-0.256,119.846,20,7.5
2018,Tidak Terjadi Tsunami,"INDONESIA:  MADURA ISLAND, JAVA",-7.453,114.455,9,6
2018,Tidak Terjadi Tsunami,INDONESIA:  SULAWESI:  MAMASA,-2.907,119.392,14,5.5
